ReportGuid,trend,Days with usage,ReportName,IsUsageMetricsReportWS
"a560341d-8b5f-4ca8-8cbf-e3eedbdcac33",236%,20,"AI Native Exec Reporting",False
"57a8f901-ec77-4ed5-ad34-bc7757fd5f63",-100%,2,"Content Self-Serve Dashboard_multitag",False
"c3c96a23-40de-47e6-8172-44700ed0ba1b",0%,0,"Xbox_Agent_Report_Shadow_Prod-V3__toBeDeleted",False
"937251d4-b5ac-4a5c-943a-5fb1b17eb35d",0%,0,"AIMetrics_V2",False
"0bf86c33-859f-4fe3-94e3-f75bbf4e0a99",0%,0,"Dashboard Usage Metrics Report",True
"77d47fa2-9108-40ef-9961-3060488f9666",109%,29,"Content Self-Serve Dashboard",False
"7808036c-b205-4d41-8568-49b23a21ba3e",0%,0,"DTP_Shadow_Experimentation_1113",False
"7a4f1aa8-f757-4a0e-8eab-774b043a6bfe",0%,0,"AI-Native-Success-Metrics-Dataset-StalenessCheckSev4",False
"95395726-c1ef-47e4-b7a1-101fd6b04354",0%,0,"exec_latest",False
"a99855f7-e2c0-47c0-982f-720abae0f84e",0%,0,"Agentic Copilot Outlook",False
"ee6b697e-08ef-4069-82f1-83d34100356b",282%,18,"MFADataProtection-ShadowDashboard-Prod",False
"c4757435-a914-4a65-af1a-a175bcaafe8a",514%,13,"Surface_Shadow_Experimentation_PROD",False
"8a1864fd-52c4-4839-9db4-9417b4e9ed03",0%,0,"AIMetrics_V1",False
"01a2a706-ba79-47f4-935c-9c3f843364a5",0%,0,"Usage Metrics Report",True
"a87e57c7-4d50-403a-84a5-94ebe0b91a98",0%,1,"Actionable_Feedback_Commercial",False
"6d549ec4-a493-4e08-b91d-7b8ae089cc8c",500%,7,"Agentic Copilot Auto Case Update",False
"50e807b4-cf2e-411a-ad08-72ac39ee9592",428%,24,"SCIM_ShadowDashboard_Prod",False
"420eaab0-b010-41ae-8a54-9627cf69589d",0%,0,"AIMetrics_backup_28_08",False
"15eeb56e-9b1f-4b2e-bbbe-ab9cd19ffa5a",0%,0,"AIPodSemanticModel_V2",False
"a1a490a8-3c7f-403e-ac2c-2c1192a9d6e0",0%,1,"AI Native Success Metrics demo",False
"72785364-953b-4955-859d-78d58cfc48c9",0%,0,"exec",False
"2d12187b-f426-4d2b-93bd-623c4123e7ed",433%,8,"Agent Copilot Metrics Consumer - PROD",False
"3012317e-28e3-47f6-8f18-b62156a689a6",0%,0,"Actionable_Feedback_Consumer",False
"f6fe26cf-6a48-47a8-a2c2-658b3a8d4573",0%,0,"Report Usage Metrics Report",True
"8aaf5f64-eeee-4189-9576-19940557907f",0%,0,"Surface_Shadow_Experimentation_PPE",False
"3acc2784-5fe6-4eb1-940f-7977c8482295",0%,0,"AIMetrics_Draft",False
"f8f9f871-a3d8-4967-a7c5-ad8d0fbf6260",0%,0,"AI-Native-Success-Metrics-Dataset-StalenessCheckSev3",False
"6ab2576c-07ca-40a1-9ce8-4ad55a2f0e68",0%,1,"AI Success Metrics",False
"e3925099-65f3-4972-844a-819ed070701c",733%,17,"Agent Copilot Metrics Commercial-Report",False
"bda22592-3cbd-4a38-a8d6-71693e78c67f",730%,15,"Knowledge harvesting",False
"ea861f5c-d3c7-472a-9f97-d165f8ce3a7a",194%,19,"DTP_Shadow_Experimentation",False
"a53af7fa-1f35-45ad-aa96-0dab3fb166d7",100%,2,"Agent Copilot Metrics Commercial_Prod",False
"1c56e11c-3466-4772-85a2-6eb88b67ef03",433%,18,"AIMetrics",False
"3ca9559c-8fc7-46f5-a038-8909a45c16a7",-100%,1,"DTP-ConsumptionReport",False
"47b84f17-cf9e-4c47-9034-47e13e8f34c8",-75%,4,"AI Native Exec Reporting - PROD",False
"e8028d04-fa5b-462a-a09f-3031743bd290",0%,0,"exec",False
"d15c99aa-374c-45e0-a871-57117b579b02",350%,6,"SCIM_KnowledgeAgent_Prod",False
"c24c6f74-11ad-4f2a-b6ab-ca5a63ad27a9",0%,0,"DTP-ConsumptionReport-Prod",False
"a882e820-db14-4af6-8d3f-ebdf891dbf15",525%,12,"XBOX Shadow Experimentation",False
"d42812e4-13bc-484c-b59b-7fdf5ed2cd8e",0%,0,"Xbox_Agent_Report_Prod_to_be_deleted",False
"6aff705c-420b-4be3-8e55-2563580348c6",0%,0,"Content Self-Serve Dashboard - Perf Changes",False
"f6d1e505-ec9f-407a-b2c5-694e347212b6",0%,0,"Agentic Copilot Features",False
"70ecec85-fdcc-4872-a275-7f3141f239e0",0%,3,"KPI Details",False
"8a665184-0cd0-4dac-8cae-2774c4cf81ae",0%,0,"Content Self-Serve Dashboard-N",False
"42807bba-2117-4c91-903f-0931c9b87aff",-100%,1,"AI Native Exec Reporting demo",False
"f54dac9b-8ef5-465d-95e7-fce20bb78bf4",0%,0,"Agent Copilot Metrics Consumer - OLD",False
"811e4052-52ba-4030-9b44-4ad4fd1a9a16",0%,0,"InteractionTypeTesting",False
"b650fbe0-1f41-42a7-9a56-9911a26b6de4",0%,0,"Agent Operation View",False
